Datetime,Trial,Wig,Thermocouple,temp,Radiation,WindSpeed
2018-10-23T16:11:46Z,1,Nude,2,28.3,Off,2.5
2018-10-23T16:11:46Z,1,Nude,3,28.8,Off,2.5
2018-10-23T16:11:46Z,1,Nude,4,30.4,Off,2.5
2018-10-23T16:12:16Z,1,Nude,1,25.9,Off,2.5
2018-10-23T16:12:16Z,1,Nude,2,28.3,Off,2.5
2018-10-23T16:12:16Z,1,Nude,3,28.9,Off,2.5
2018-10-23T16:12:16Z,1,Nude,4,30.2,Off,2.5
2018-10-23T16:12:46Z,1,Nude,1,25.9,Off,2.5
2018-10-23T16:12:46Z,1,Nude,2,28.3,Off,2.5
2018-10-23T16:12:46Z,1,Nude,3,28.8,Off,2.5
2018-10-23T16:12:46Z,1,Nude,4,30.3,Off,2.5
2018-10-23T16:13:16Z,1,Nude,1,25.7,Off,2.5
2018-10-23T16:13:16Z,1,Nude,2,27.9,Off,2.5
2018-10-23T16:13:16Z,1,Nude,3,28.9,Off,2.5
2018-10-23T16:13:16Z,1,Nude,4,30.7,Off,2.5
2018-10-23T16:13:46Z,1,Nude,1,25.6,Off,2.5
2018-10-23T16:13:46Z,1,Nude,2,28.5,Off,2.5
2018-10-23T16:13:46Z,1,Nude,3,28.9,Off,2.5
2018-10-23T16:13:46Z,1,Nude,4,30.4,Off,2.5
2018-10-23T16:14:16Z,1,Nude,1,25.9,Off,2.5
2018-10-23T16:14:16Z,1,Nude,2,28.3,Off,2.5
2018-10-23T16:14:16Z,1,Nude,3,28.8,Off,2.5
2018-10-23T16:14:16Z,1,Nude,4,30.4,Off,2.5
2018-10-23T16:14:46Z,1,Nude,1,25.7,Off,2.5
2018-10-23T16:14:46Z,1,Nude,2,28.5,Off,2.5
2018-10-23T16:14:46Z,1,Nude,3,28.8,Off,2.5
2018-10-23T16:14:46Z,1,Nude,4,30.3,Off,2.5
2018-10-23T16:15:16Z,1,Nude,1,25.7,Off,2.5
2018-10-23T16:15:16Z,1,Nude,2,28.4,Off,2.5
2018-10-23T16:15:16Z,1,Nude,3,28.7,Off,2.5
2018-10-23T16:15:16Z,1,Nude,4,30.5,Off,2.5
